"COD_DANE12","COLEGIO_SE","X","Y","P_Puntaje_2021","EVALUADOS_2021","Sector","CALENDARIO","GENERO","COD_LOCA","NATU_JUR","CLASE_TIPO","Categoria","Thombre_aprob","Tmujer_aprob","Thombre","Tmujer","ESTRATO","DENSITY","P_Puntaje_2019","EVALUADOS_2019","P_Puntaje_2020","EVALUADOS_2020","P_Puntaje_2022","EVALUADOS_2022"
311001087555,"COLEGIO PSICOPEDAGOGICO EL FUTURO DE VILLA DEL RIO",-8254887.9509,512624.309,310,39,1,1,5,7,13,1,1,89.88,90.69,1.02,1.2,3,181.044373149,304.2307692,42,294.6153846,27,313.4615385,33
311001087601,"COLEGIO RAFAEL GOBERNA",-8255930.7285,516484.4969,258.4615385,22,1,1,5,8,11,1,3,85.22,88.65,0.77,0.71,2,548.796445738,251.5384615,31,240,33,266.1538462,34
311001087636,"INSTITUTO ACADEMICO LA PORTADA",-8258646.8205,515929.499200001,264.6153846,25,1,1,5,7,13,1,4,90.04,91.9,1.72,1.39,2,415.818720334,259.2307692,27,236.5384615,30,255.7692308,19
311001087725,"COLEGIO PIERRE DE FERMAT",-8240543.8067,526971.409600001,280.7692308,25,1,1,5,1,15,1,2,90.44,92.7,0.94,0.63,3,264.024478433,268.8461538,26,266.5384615,29,278.8461538,18
311001087750,"COLEGIO CRISTIANO GRACIA Y AMOR",-8244106.9944,530757.385499999,321.9230769,15,1,1,5,11,8,1,1,0,0,0.93,1.55,5,109.005077287,306.5384615,24,316.9230769,22,341.9230769,13
311001087792,"COLEGIO DEL SANTISIMO SACRAMENTO",-8250679.4563,514306.067699999,281.1538462,29,1,1,5,16,3,1,2,83.87,86.73,2.25,2.06,3,233.05811403,299.2307692,19,289.6153846,32,279.6153846,28
311001087989,"COLEGIO COLSUBSIDIO CIUDADELA",-8250315.7644,526099.274300002,310,230,1,1,5,10,2,1,1,90.84,93.54,0.58,0.72,3,181.829807579,316.1538462,222,308.4615385,218,313.0769231,222
311001088047,"INSTITUTO COPESAL",-8248836.4085,527748.1382,271.1538462,13,1,1,5,11,15,1,2,89.36,91.61,2.38,1.86,3,425.30735871,278.4615385,17,263.4615385,13,286.1538462,15
311001088063,"INSTITUTO SAN RICARDO PAMPURI",-8256781.0201,515332.8884,268.8461538,58,1,1,5,8,15,1,2,84.06,88.15,2.25,1.45,2,394.125463137,274.6153846,55,266.9230769,45,272.3076923,43
311001088217,"UNIDAD EDUCATIVA BAHIA SOLANO",-8254761.61,521433.127500001,270,34,1,1,5,9,15,1,3,84.16,87.77,0.82,0.56,3,276.94015566,256.1538462,22,273.4615385,14,270.7692308,20
311001088314,"GIMNASIO CACERES",-8259704.2755,513465.562100001,250,31,1,1,5,7,13,1,3,87.89,89.97,0.63,0.58,2,309.569740428,248.8461538,34,251.5384615,38,235,33
311001088403,"COLEGIO INTEGRAL",-8244472.2626,519053.9494,298.8461538,21,1,1,5,2,13,1,1,91.04,95.48,3.73,3.17,4,62.2349627659,298.8328912,19,290.3846154,22,310.3846154,20
311001088420,"COLEGIO PAE - PROCESO ALTERNATIVO EDUCATIVO",-8251486.3813,524455.759100001,284.6153846,35,1,1,5,10,15,1,2,88.37,90.06,0.65,0.54,2,268.783871617,288.8461538,78,278.0769231,56,285,24
311001088608,"LICEO SANTA BERNARDITA",-8253435.1759,511369.022,310,95,1,1,5,6,13,1,1,86.13,88.07,1.35,1.34,3,219.024920058,326.1538462,73,316.5384615,73,327.3076923,93
311001088764,"LICEO CHICO CAMPESTRE",-8242795.3759,534738.499499999,323.4615385,7,1,1,5,11,15,1,1,0,0,0,0,6,1.36889875031,315.3846154,18,303.4615385,15,308.0769231,10
311001088926,"INSTITUTO TECNICO ANGELI",-8249405.9803,523896.252599999,284.2307692,9,1,1,5,10,13,1,2,86.17,87.71,1.45,1.31,3,268.675374031,270.7692308,18,272.3076923,15,258.4615385,15
311001089221,"INSTITUTO ALBERTO MERANI",-8244254.4649,531448.411800001,370.7692308,42,1,1,5,11,8,1,1,0,0,0.93,1.55,5,109.005077287,375,28,356.9230769,46,360.3846154,51
311001089272,"GIMNASIO ESPECIALIZADO DEL NORTE",-8244876.8344,523169.373399999,308.4615385,7,1,1,5,11,13,1,2,0,0,0,0,4,128.652843587,314.6153846,8,283.0769231,6,273.8461538,3
311001089396,"INSTITUTO PSICOPEDAGOGICO EL TESORO DE LA VERDAD",-8254195.5047,505837.4091,261.1538462,13,1,1,5,19,13,1,4,86.6,90.14,0.81,0.74,1,225.853650032,208.4615385,11,243.0769231,8,220,10
311001089540,"GIMNASIO NUEVO MODELIA",-8250602.3776,519938.266800001,344.2307692,35,1,1,5,9,13,1,1,93.02,92.11,0,0,4,150.660579059,328.4615385,40,334.2307692,37,340.7692308,29
311001089710,"COLEGIO SOLES DEL SABER",-8256880.4473,511259.235399999,244.2307692,10,1,1,5,19,13,1,3,84.64,88.63,2.12,1.45,1,293.036581025,234.2307692,11,253.8461538,15,276.5384615,15
311001089795,"LICEO EL ENCUENTRO",-8244396.9138,520321.943300001,341.1538462,27,1,1,5,12,8,1,1,91.04,95.48,3.73,3.17,5,62.2349627659,327.6923077,24,334.6153846,19,337.6923077,20
